target,feature,n,pearson_r,pearson_p,spearman_rho,spearman_p,spearman_fdr_q,abs_spearman_rho
tap_count_100ms,midi_note_onset_count_100ms,24816,0.06666008166559537,7.590989639603029e-26,0.09618939761090149,4.2944263494364304e-52,5.153311619323717e-51,0.09618939761090149
tap_count_100ms,midi_velocity_range,24131,-0.06859995165465571,1.430070562880012e-26,-0.07651295623953117,1.1488695206439319e-32,5.84228780498467e-32,0.07651295623953117
tap_count_100ms,midi_velocity_min,24131,0.07383783095689489,1.5662889517476351e-30,0.07619335208778251,2.0858457665929098e-32,6.257537299778729e-32,0.07619335208778251
tap_count_100ms,midi_active_note_count,24816,-0.06363555030884942,1.0779265925014808e-23,-0.07532580367336694,1.4605719512461676e-32,5.84228780498467e-32,0.07532580367336694
tap_count_100ms,midi_pitch_min,24131,0.06160147576869586,9.906678717216598e-22,0.07420295708526996,8.090669255096282e-31,1.9417606212231075e-30,0.07420295708526996
tap_count_100ms,midi_velocity_std,24131,-0.04830678749885198,6.001639234804176e-14,-0.05829961935203887,1.2622184184591501e-19,2.5244368369183003e-19,0.05829961935203887
tap_count_100ms,midi_pitch_range,24131,-0.04602892951756475,8.451472205353104e-13,-0.05658712943828464,1.406145450604312e-18,2.4105350581788206e-18,0.05658712943828464
tap_count_100ms,midi_velocity_mean,24131,0.054551297368953956,2.2527354459186063e-17,0.0512783337968006,1.580499542064521e-15,2.3707493130967814e-15,0.0512783337968006
tap_count_100ms,midi_pitch_mean,24131,0.04018555974902778,4.24651144865262e-10,0.04620503525547146,6.91904388575222e-13,9.225391847669627e-13,0.04620503525547146
tap_count_100ms,midi_pitch_std,24131,-0.014555635131685759,0.023753207936771516,-0.02352954736143118,0.00025674799504028735,0.0003080975940483448,0.02352954736143118
tap_count_100ms,midi_pitch_max,24131,0.0088672187820541,0.1683875892162739,0.015306365952507792,0.017419535084368068,0.019003129182946984,0.015306365952507792
tap_count_100ms,midi_velocity_max,24131,0.014280757048004144,0.026528030234132863,0.005727773638832136,0.37361491279601133,0.37361491279601133,0.005727773638832136
